FID,Id,ORIG_FID,x,y,elevation,basin
0,0,2,1390431.933980000000000,1139220.385410000100000,3712.1799316,15289
1,0,2,1390399.381959999900000,1139144.864730000000000,3725.0800781,15289
2,0,2,1390329.069600000000000,1139064.135719999900000,3733.3701172,15289
3,0,2,1390206.674010000000000,1138980.802549999900000,3753.6298828,15289
4,0,2,1390127.247090000000000,1138875.334010000100000,3760.7099609,15289
5,0,2,1390075.163860000000000,1138734.709300000000000,3774.6201172,15289
6,0,2,1389952.768269999900000,1138575.855449999900000,3822.0800781,15289
7,0,2,1389844.695570000000000,1138428.720320000100000,3824.5000000,15289
8,0,2,1389711.883330000100000,1138271.168559999900000,3842.9299316,15289
9,0,2,1389618.133519999900000,1138122.731350000000000,3867.9099121,15289
10,0,2,1389538.706599999900000,1137989.919120000000000,3881.1101074,15289
11,0,2,1389183.238560000000000,1137877.940179999900000,3953.8500977,15289
12,0,2,1389162.405270000000000,1137855.804800000000000,3962.0500488,15289
13,0,2,1389148.082380000000000,1137818.044460000000000,3961.4699707,15289
14,0,2,1389178.030240000000000,1137758.148749999900000,3966.0400391,15289
15,0,2,1389245.738429999900000,1137712.575920000000000,3964.1201172,15289
16,0,2,1389273.082130000000000,1137663.096859999900000,3963.1201172,15289
17,0,2,1389262.665480000000000,1137561.534560000100000,3987.3200684,15289
18,0,2,1389234.019709999900000,1137439.138970000000000,4008.1799316,15289
19,0,2,1389269.175890000100000,1137359.712050000000000,4008.1201172,15289
20,0,2,1389284.800860000100000,1137278.983040000100000,4030.1899414,15289
21,0,2,1389239.228030000100000,1137226.899810000100000,4038.3000488,15289
22,0,2,1389138.967810000100000,1137199.556120000100000,4061.8798828,15289
23,0,2,1389010.061819999900000,1137288.097610000100000,4074.5700684,15289
24,0,2,1388977.509800000100000,1137401.378629999900000,4077.8400879,15289
25,0,2,1388935.843219999900000,1137566.742880000000000,4093.5800781,15289
26,0,2,1388907.197440000000000,1137625.336510000100000,4082.8100586,15289
27,0,2,1388765.270640000000000,1137659.190609999900000,4095.8500977,15289
28,0,2,1388688.447880000100000,1137673.513499999900000,4104.5898438,15289
29,0,2,1388580.375180000000000,1137812.836140000000000,4101.3701172,15289
30,0,2,1388478.812880000100000,1137897.471390000100000,4115.6000977,15289
31,0,2,1388403.292200000000000,1137945.648370000100000,4128.2202148,15289
32,0,2,1388344.698570000000000,1138048.512750000000000,4152.7797852,15289
33,0,2,1388317.354869999900000,1138151.377129999900000,4160.1499023,15289
34,0,2,1388282.198690000000000,1138178.720819999900000,4165.2597656,15289
35,0,2,1388235.323790000100000,1138183.929150000000000,4163.5898438,15312
36,0,2,1388268.309829999900000,1138236.880429999900000,4164.1499023,15289
37,0,2,1388320.393059999900000,1138371.428770000100000,4167.9199219,15312
38,0,2,1388305.202120000000000,1138532.018729999900000,4180.7299805,15312
39,0,2,1388300.861850000000000,1138696.948950000100000,4211.6499023,15289
40,0,2,1388290.011179999900000,1138801.115410000100000,4244.2099609,15312
41,0,2,1388294.351450000000000,1138881.410390000100000,4266.7001953,15312
42,0,2,1388231.417549999900000,1138961.705370000100000,4289.9702148,15312
43,0,2,1388220.566870000000000,1139031.149670000000000,4313.1000977,15312
44,0,2,1388240.098079999900000,1139104.934249999900000,4330.2998047,15312
45,0,2,1388227.077280000100000,1139215.611109999900000,4365.2998047,15312
46,0,2,1388235.150180000100000,1138183.668730000000000,4163.5898438,15312
47,0,2,1388217.441880000100000,1138150.335460000000000,4165.7402344,15312
48,0,2,1388124.733730000000000,1138131.064670000000000,4161.0000000,15312
49,0,2,1388068.614050000000000,1138101.030010000100000,4158.9399414,15312
50,0,2,1387983.978799999900000,1138006.629149999900000,4157.9902344,15312
51,0,2,1387955.767060000000000,1137930.674450000000000,4162.7797852,15312
52,0,2,1387938.405980000000000,1137838.443729999900000,4161.9799805,15312
53,0,2,1387895.003289999900000,1137759.233820000000000,4157.7099609,15312
54,0,2,1387892.833150000100000,1137669.173230000100000,4161.8500977,15312
55,0,2,1387826.644050000000000,1137543.305429999900000,4164.7700195,15312
56,0,3,1388317.354869999900000,1138151.377129999900000,4160.1499023,15289
57,0,3,1388240.991459999900000,1138109.743100000100000,4166.7299805,15289
58,0,3,1388196.720710000000000,1138059.395980000000000,4168.4399414,15312
59,0,3,1388176.755470000000000,1137965.212140000000000,4172.8300781,15289
60,0,3,1388180.893200000000000,1137878.319949999900000,4181.1298828,15289
61,0,3,1388164.921009999900000,1137811.653420000100000,4189.5898438,15289
62,0,3,1388182.151869999900000,1137768.554539999900000,4193.2597656,15289
63,0,3,1388224.469499999900000,1137682.834229999900000,4205.6000977,15312
64,0,3,1388164.790800000100000,1137610.134720000000000,4206.7797852,15312
65,0,3,1388101.856900000000000,1137528.754680000000000,4204.9301758,15312
66,0,3,1388068.219809999900000,1137447.374630000000000,4211.9702148,15312
67,0,3,1387973.818960000100000,1137395.291400000000000,4203.0097656,15312
68,0,3,1387873.992769999900000,1137281.359340000000000,4203.5400391,15312
69,0,3,1387819.739400000100000,1137204.319560000000000,4195.7299805,15312
70,0,3,1387774.166580000000000,1137128.364850000000000,4191.3798828,15312
71,0,3,1387678.680660000100000,1137028.538660000100000,4196.1801758,15312
72,0,3,1387594.045410000000000,1136975.370369999900000,4203.7900391,15312
73,0,3,1387481.198420000000000,1136904.840989999900000,4201.8300781,15312
74,0,3,1387448.646400000000000,1136880.969510000000000,4204.2202148,15312
75,0,3,1387378.117020000000000,1136775.717990000000000,4211.7099609,15312
76,0,3,1387120.956079999900000,1136674.806730000100000,4209.4599609,15312
77,0,3,1387058.022180000100000,1136602.107219999900000,4210.4501953,15462
78,0,3,1387030.895500000100000,1136533.747990000100000,4211.4399414,15462
79,0,3,1386929.984239999900000,1136428.496460000100000,4206.3798828,15462
